"Recto";"Verso";"Tags"
"Quel lien faire avec un commentaire ?";"Une ironie voltairienne peut faire apparaître le ridicule d’une injustice.";"bac_francais auteurs auteur_voltaire"
"Quel siècle pour Rousseau ?";"XVIIIe siècle";"bac_francais auteurs auteur_rousseau"
"Quel mouvement principal associer à Rousseau ?";"Lumières";"bac_francais auteurs auteur_rousseau"
"Quels genres Rousseau pratique-t-il ?";"essai, autobiographie, discours";"bac_francais auteurs auteur_rousseau"
"Quels thèmes reviennent souvent chez Rousseau ?";"nature, liberté, éducation, société, moi";"bac_francais auteurs auteur_rousseau"
"Comment décrire son style ?";"réflexif, personnel, parfois lyrique";"bac_francais auteurs auteur_rousseau"
"Quels procédés fréquents utiliser chez Rousseau ?";"questions, opposition, champ lexical des sentiments, argumentation";"bac_francais auteurs auteur_rousseau"
"Quelles œuvres de Rousseau sont utiles à connaître ?";"Les Confessions, Du contrat social, Émile";"bac_francais auteurs auteur_rousseau"
"Quelle phrase courte et réutilisable peut présenter Rousseau ?";"Rousseau est un penseur des Lumières qui réfléchit à la liberté, à l’éducation et à la nature.";"bac_francais auteurs auteur_rousseau"
"Quelle phrase réutilisable dans une introduction peut servir pour Rousseau ?";"Rousseau interroge la société et défend une réflexion sur la liberté et l’éducation.";"bac_francais auteurs auteur_rousseau"
"Quel lien faire avec un commentaire ?";"Une opposition chez Rousseau peut montrer le conflit entre nature et société.";"bac_francais auteurs auteur_rousseau"
"Quel siècle pour Montaigne ?";"XVIe siècle";"bac_francais auteurs auteur_montaigne"
"Quel mouvement principal associer à Montaigne ?";"humanisme";"bac_francais auteurs auteur_montaigne"
"Quels genres Montaigne pratique-t-il ?";"essai";"bac_francais auteurs auteur_montaigne"
"Quels thèmes reviennent souvent chez Montaigne ?";"introspection, connaissance de soi, tolérance, jugement, expérience";"bac_francais auteurs auteur_montaigne"
"Comment décrire son style ?";"réflexif, libre, personnel";"bac_francais auteurs auteur_montaigne"
"Quels procédés fréquents utiliser chez Montaigne ?";"questions, exemples, réflexion, comparaison";"bac_francais auteurs auteur_montaigne"
"Quelles œuvres de Montaigne sont utiles à connaître ?";"Essais";"bac_francais auteurs auteur_montaigne"
"Quelle phrase courte et réutilisable peut présenter Montaigne ?";"Montaigne est un humaniste qui réfléchit à l’homme et à la connaissance de soi.";"bac_francais auteurs auteur_montaigne"
"Quelle phrase réutilisable dans une introduction peut servir pour Montaigne ?";"Montaigne propose une réflexion personnelle et ouverte sur l’être humain.";"bac_francais auteurs auteur_montaigne"
"Quel lien faire avec un commentaire ?";"Une question chez Montaigne peut inviter à réfléchir plutôt qu’à répondre immédiatement.";"bac_francais auteurs auteur_montaigne"
"Quel siècle pour Camus ?";"XXe siècle";"bac_francais auteurs auteur_camus"
"Quel mouvement principal associer à Camus ?";"existentialisme";"bac_francais auteurs auteur_camus"
"Quels genres Camus pratique-t-il ?";"roman, essai, théâtre";"bac_francais auteurs auteur_camus"
"Quels thèmes reviennent souvent chez Camus ?";"absurde, liberté, révolte, responsabilité, condition humaine";"bac_francais auteurs auteur_camus"
"Comment décrire son style ?";"clair, sobre, engagé";"bac_francais auteurs auteur_camus"
"Quels procédés fréquents utiliser chez Camus ?";"questions, antithèse, champ lexical du doute, phrases nettes";"bac_francais auteurs auteur_camus"
"Quelles œuvres de Camus sont utiles à connaître ?";"L’Étranger, La Peste, Le Mythe de Sisyphe";"bac_francais auteurs auteur_camus"
"Quelle phrase courte et réutilisable peut présenter Camus ?";"Camus est un écrivain du XXe siècle qui interroge l’absurde et la responsabilité humaine.";"bac_francais auteurs auteur_camus"
"Quelle phrase réutilisable dans une introduction peut servir pour Camus ?";"Camus met en scène des personnages confrontés à l’absurde et au choix.";"bac_francais auteurs auteur_camus"
"Quel lien faire avec un commentaire ?";"Une antithèse chez Camus peut opposer l’absurde et la liberté.";"bac_francais auteurs auteur_camus"
"Quel siècle pour Apollinaire ?";"XXe siècle";"bac_francais auteurs auteur_apollinaire"
"Quel mouvement principal associer à Apollinaire ?";"modernité poétique";"bac_francais auteurs auteur_apollinaire"
"Quels genres Apollinaire pratique-t-il ?";"poésie";"bac_francais auteurs auteur_apollinaire"
"Quels thèmes reviennent souvent chez Apollinaire ?";"amour, ville, guerre, mémoire, modernité";"bac_francais auteurs auteur_apollinaire"
"Comment décrire son style ?";"inventif, libre, parfois très musical";"bac_francais auteurs auteur_apollinaire"
"Quels procédés fréquents utiliser chez Apollinaire ?";"images, calligrammes, répétitions, associations inattendues";"bac_francais auteurs auteur_apollinaire"
"Quelles œuvres de Apollinaire sont utiles à connaître ?";"Alcools, Calligrammes";"bac_francais auteurs auteur_apollinaire"
"Quelle phrase courte et réutilisable peut présenter Apollinaire ?";"Apollinaire renouvelle la poésie par une écriture moderne et très libre.";"bac_francais auteurs auteur_apollinaire"
"Quelle phrase réutilisable dans une introduction peut servir pour Apollinaire ?";"Apollinaire renouvelle la poésie en mêlant modernité, émotion et invention formelle.";"bac_francais auteurs auteur_apollinaire"
"Quel lien faire avec un commentaire ?";"Une image inattendue chez Apollinaire peut transformer une scène ordinaire en vision poétique.";"bac_francais auteurs auteur_apollinaire"
"Quel siècle pour Lagarce ?";"XXe siècle";"bac_francais auteurs auteur_lagarce"
"Quel mouvement principal associer à Lagarce ?";"théâtre contemporain";"bac_francais auteurs auteur_lagarce"
"Quels genres Lagarce pratique-t-il ?";"théâtre";"bac_francais auteurs auteur_lagarce"
"Quels thèmes reviennent souvent chez Lagarce ?";"famille, silence, parole, mémoire, malaise";"bac_francais auteurs auteur_lagarce"
"Comment décrire son style ?";"simple en apparence, très travaillé, marqué par les reprises";"bac_francais auteurs auteur_lagarce"
"Quels procédés fréquents utiliser chez Lagarce ?";"répétition, hésitation, reprise, interruption";"bac_francais auteurs auteur_lagarce"
"Quelles œuvres de Lagarce sont utiles à connaître ?";"Juste la fin du monde, Derniers remords avant l’oubli";"bac_francais auteurs auteur_lagarce"
"Quelle phrase courte et réutilisable peut présenter Lagarce ?";"Lagarce est un dramaturge contemporain qui met en scène la difficulté de dire et de se comprendre.";"bac_francais auteurs auteur_lagarce"
"Quelle phrase réutilisable dans une introduction peut servir pour Lagarce ?";"Lagarce met en valeur les silences, les reprises et les tensions familiales.";"bac_francais auteurs auteur_lagarce"
"Quel lien faire avec un commentaire ?";"Une répétition chez Lagarce peut montrer l’hésitation et le malaise.";"bac_francais auteurs auteur_lagarce"
"Quelle est la définition du registre lyrique ?";"exprime des sentiments personnels forts";"bac_francais registres registre_lyrique"
"Comment reconnaître le registre lyrique ?";"première personne, vocabulaire des émotions, ponctuation expressive";"bac_francais registres registre_lyrique"
"Quel effet produit le registre lyrique sur le lecteur ?";"créer une proximité avec le lecteur";"bac_francais registres registre_lyrique"
"Quel autre effet peut produire le registre lyrique ?";"faire partager une émotion";"bac_francais registres registre_lyrique"
"Quel exemple simple illustre le registre lyrique ?";"Je pleure dans le silence de la nuit.";"bac_francais registres registre_lyrique"
"Quelle phrase réutilisable associer au registre lyrique ?";"Le registre lyrique donne accès aux émotions du locuteur.";"bac_francais registres registre_lyrique"
"Quelle erreur fréquente éviter avec le registre lyrique ?";"dire seulement que le texte est triste";"bac_francais registres registre_lyrique"
"Mini-situation : un poème en “je” qui parle d’une douleur. Quel registre ?";"lyrique";"bac_francais registres registre_lyrique"
"Complète la phrase utile sur le registre lyrique.";"Le registre lyrique donne accès aux émotions du locuteur.";"bac_francais registres registre_lyrique"
"Dans un commentaire, que faut-il dire du registre lyrique ?";"Il crée une proximité émotionnelle.";"bac_francais registres registre_lyrique"
"À ne pas confondre avec le registre lyrique ?";"avec le simple romantisme";"bac_francais registres registre_lyrique"
"Quel indice de reconnaissance est important pour le registre lyrique ?";"moi, je, mon";"bac_francais registres registre_lyrique"
"Quelle est la définition du registre tragique ?";"montre l’impuissance de l’homme face au destin";"bac_francais registres registre_tragique"
"Comment reconnaître le registre tragique ?";"fatalité, choix impossible, souffrance, menace de mort";"bac_francais registres registre_tragique"
"Quel effet produit le registre tragique sur le lecteur ?";"susciter la pitié";"bac_francais registres registre_tragique"
"Quel autre effet peut produire le registre tragique ?";"faire sentir la tension du destin";"bac_francais registres registre_tragique"
"Quel exemple simple illustre le registre tragique ?";"Je ne puis échapper à mon destin.";"bac_francais registres registre_tragique"
"Quelle phrase réutilisable associer au registre tragique ?";"Le registre tragique met en valeur l’impuissance du personnage.";"bac_francais registres registre_tragique"
"Quelle erreur fréquente éviter avec le registre tragique ?";"le confondre avec une simple scène triste";"bac_francais registres registre_tragique"
"Mini-situation : un héros qui sait qu’il va perdre. Quel registre ?";"tragique";"bac_francais registres registre_tragique"
"Complète la phrase utile sur le registre tragique.";"Le registre tragique met en valeur l’impuissance du personnage.";"bac_francais registres registre_tragique"
"Dans un commentaire, que faut-il dire du registre tragique ?";"Il souligne la fatalité.";"bac_francais registres registre_tragique"
"À ne pas confondre avec le registre tragique ?";"avec le pathétique";"bac_francais registres registre_tragique"
"Quel indice de reconnaissance est important pour le registre tragique ?";"fatalité";"bac_francais registres registre_tragique"
"Quelle est la définition du registre polémique ?";"cherche à dénoncer et à défendre une idée avec force";"bac_francais registres registre_polemique"
"Comment reconnaître le registre polémique ?";"adressage direct, questions, exclamations, accusations";"bac_francais registres registre_polemique"
"Quel effet produit le registre polémique sur le lecteur ?";"faire réagir le lecteur";"bac_francais registres registre_polemique"
"Quel autre effet peut produire le registre polémique ?";"convaincre ou dénoncer";"bac_francais registres registre_polemique"
"Quel exemple simple illustre le registre polémique ?";"Il est scandaleux que cela continue.";"bac_francais registres registre_polemique"
"Quelle phrase réutilisable associer au registre polémique ?";"Le registre polémique donne au texte une force de dénonciation.";"bac_francais registres registre_polemique"
"Quelle erreur fréquente éviter avec le registre polémique ?";"le réduire à la colère";"bac_francais registres registre_polemique"
"Mini-situation : un texte qui attaque une injustice. Quel registre ?";"polémique";"bac_francais registres registre_polemique"
"Complète la phrase utile sur le registre polémique.";"Le registre polémique donne au texte une force de dénonciation.";"bac_francais registres registre_polemique"
"Dans un commentaire, que faut-il dire du registre polémique ?";"Il cherche à convaincre le lecteur.";"bac_francais registres registre_polemique"
"À ne pas confondre avec le registre polémique ?";"avec le simple débat";"bac_francais registres registre_polemique"
"Quel indice de reconnaissance est important pour le registre polémique ?";"verbes de jugement";"bac_francais registres registre_polemique"
"Quelle est la définition du registre ironique ?";"dit le contraire de ce qu’il pense pour critiquer";"bac_francais registres registre_ironique"
"Comment reconnaître le registre ironique ?";"décalage entre les mots et l’intention";"bac_francais registres registre_ironique"
"Quel effet produit le registre ironique sur le lecteur ?";"créer une distance critique";"bac_francais registres registre_ironique"
"Quel autre effet peut produire le registre ironique ?";"faire sourire ou dénoncer";"bac_francais registres registre_ironique"
"Quel exemple simple illustre le registre ironique ?";"Quel génie, vraiment !";"bac_francais registres registre_ironique"
"Quelle phrase réutilisable associer au registre ironique ?";"Le registre ironique crée un décalage qui permet la critique.";"bac_francais registres registre_ironique"
"Quelle erreur fréquente éviter avec le registre ironique ?";"le prendre au premier degré";"bac_francais registres registre_ironique"
"Mini-situation : un narrateur fait semblant d’admirer ce qu’il condamne. Quel registre ?";"ironique";"bac_francais registres registre_ironique"
"Complète la phrase utile sur le registre ironique.";"Le registre ironique crée un décalage qui permet la critique.";"bac_francais registres registre_ironique"
"Dans un commentaire, que faut-il dire du registre ironique ?";"Il permet une critique indirecte.";"bac_francais registres registre_ironique"
"À ne pas confondre avec le registre ironique ?";"avec un éloge sincère";"bac_francais registres registre_ironique"
"Quel indice de reconnaissance est important pour le registre ironique ?";"décalage";"bac_francais registres registre_ironique"
"Phrase utile pour présenter l’auteur";"[Auteur] est un écrivain du [siècle] souvent associé à [mouvement].";"bac_francais phrases introduction"
"Phrase utile pour présenter le mouvement";"[Auteur] est connu pour une écriture qui met en valeur [thème].";"bac_francais phrases introduction"
"Phrase utile pour présenter l’extrait";"Dans ses textes, [auteur] s'intéresse souvent à [thème ou enjeu].";"bac_francais phrases introduction"
"Phrase utile pour amener l’enjeu";"[Auteur] utilise fréquemment [genre] pour interroger [idée].";"bac_francais phrases introduction"
"Phrase utile pour passer à la problématique";"Ce texte peut être rattaché à [mouvement], mouvement qui valorise [idée].";"bac_francais phrases introduction"
"Phrase à retenir pour l’introduction";"Le passage s'inscrit dans [mouvement], qui cherche à [objectif du mouvement].";"bac_francais phrases introduction"
"Phrase utile pour présenter l’auteur";"On retrouve ici une caractéristique de [mouvement] : [idée].";"bac_francais phrases introduction"
"Phrase utile pour présenter le mouvement";"Dans cet extrait, [auteur] met en scène [situation].";"bac_francais phrases introduction"
"Phrase utile pour présenter l’extrait";"Ce passage présente [personnage, scène ou idée principale].";"bac_francais phrases introduction"
"Phrase utile pour amener l’enjeu";"Le texte donne à voir [élément important] tout en suggérant [interprétation].";"bac_francais phrases introduction"
"Phrase utile pour passer à la problématique";"L'extrait repose sur [opposition, description, dialogue, réflexion].";"bac_francais phrases introduction"
"Phrase à retenir pour l’introduction";"Le passage ne se contente pas de raconter [situation] : il montre aussi [enjeu].";"bac_francais phrases introduction"
"Formule générale de problématique";"Comment [auteur] met-il en valeur [idée principale] ?";"bac_francais phrases problematique"
"Problématique pour un texte argumentatif";"En quoi ce passage montre-t-il [enjeu du texte] ?";"bac_francais phrases problematique"
"Problématique pour un texte poétique";"Comment le texte transforme-t-il [situation] en [interprétation] ?";"bac_francais phrases problematique"
"Problématique pour un texte théâtral";"En quoi l'écriture de [auteur] permet-elle de faire ressentir [effet] ?";"bac_francais phrases problematique"
"Problématique pour un récit";"Comment l'auteur cherche-t-il à convaincre le lecteur de [idée] ?";"bac_francais phrases problematique"
"Question à éviter";"En quoi ce texte constitue-t-il une critique de [cible] ?";"bac_francais phrases problematique"
"Complète la formule de problématique";"Comment le texte dénonce-t-il [injustice, défaut ou situation] ?";"bac_francais phrases problematique"
"Formule utile avec “comment”";"Par quels procédés l'auteur rend-il son argumentation plus efficace ?";"bac_francais phrases problematique"
"Formule utile avec “en quoi”";"Comment le poète exprime-t-il [sentiment] à travers [image ou thème] ?";"bac_francais phrases problematique"
"Phrase à retenir";"En quoi ce poème transforme-t-il [élément réel] en expérience poétique ?";"bac_francais phrases problematique"
"Plan en deux axes";"Nous verrons d'abord [axe 1], puis nous étudierons [axe 2].";"bac_francais phrases annonce_plan"
"Plan en trois axes";"Dans un premier temps, nous montrerons que [axe 1]. Nous verrons ensuite que [axe 2].";"bac_francais phrases annonce_plan"
"Annonce plus fluide";"L'analyse montrera d'abord [axe 1], avant de mettre en évidence [axe 2].";"bac_francais phrases annonce_plan"
"Pour annoncer un axe";"Il s'agira d'abord d'étudier [axe 1], puis de comprendre comment [axe 2].";"bac_francais phrases annonce_plan"
"Phrase à adapter en priorité";"Nous verrons d'abord [axe 1], puis [axe 2], avant d'étudier [axe 3].";"bac_francais phrases annonce_plan"
"Formule courte pour l’annonce";"Dans un premier temps, le texte présente [axe 1]. Il met ensuite en valeur [axe 2], puis révèle [axe 3].";"bac_francais phrases annonce_plan"
"Formule de transition vers le plan";"L'analyse suivra une progression : [axe 1], puis [axe 2], enfin [axe 3].";"bac_francais phrases annonce_plan"
"Comment introduire le premier axe";"Le texte progresse donc d'une description vers [interprétation plus profonde].";"bac_francais phrases annonce_plan"
"Comment annoncer le deuxième axe";"Le passage conduit le lecteur de [point de départ] à [point d'arrivée].";"bac_francais phrases annonce_plan"
"Comment conclure l’annonce";"L'extrait construit d'abord [idée], avant de faire apparaître [idée plus profonde].";"bac_francais phrases annonce_plan"
"Introduire une citation";"On le voit dans l'expression ""[citation]"".";"bac_francais phrases analyse"
"Nommer un procédé";"Cette idée apparaît dans les mots ""[citation]"".";"bac_francais phrases analyse"
"Relier procédé et effet";"Le passage insiste sur cette idée avec ""[citation]"".";"bac_francais phrases analyse"
"Interpréter";"La citation ""[citation]"" permet de comprendre [idée].";"bac_francais phrases analyse"
"Analyser une opposition";"L'auteur utilise ici [procédé].";"bac_francais phrases analyse"
"Analyser une image";"Ce passage repose sur [procédé].";"bac_francais phrases analyse"
"Commenter un champ lexical";"On remarque l'emploi de [procédé].";"bac_francais phrases analyse"
"Commenter le rythme";"Le choix de [procédé] attire l'attention sur [idée].";"bac_francais phrases analyse"
"Commenter la ponctuation";"Le texte s'appuie sur [procédé] pour faire ressortir [idée].";"bac_francais phrases analyse"
"Commenter le registre";"[Procédé] permet ici de mettre en avant [idée].";"bac_francais phrases analyse"
"Commenter la progression du texte";"Ce procédé met en valeur [idée].";"bac_francais phrases analyse"
"Commenter l’effet sur le lecteur";"Ce choix d'écriture crée un effet de [effet].";"bac_francais phrases analyse"
"Conclure un paragraphe";"L'auteur donne ainsi au lecteur l'impression que [idée].";"bac_francais phrases analyse"
"Phrase à adapter en priorité";"Cette formulation renforce [idée].";"bac_francais phrases analyse"
"Transition entre deux axes";"Après avoir montré que [axe 1], il faut maintenant étudier [axe 2].";"bac_francais phrases transition"
"Transition dans un paragraphe";"Si le texte met d'abord en valeur [axe 1], il révèle aussi [axe 2].";"bac_francais phrases transition"
"Transition vers une interprétation plus profonde";"Cette première analyse montre [bilan axe 1]. Cependant, le passage va plus loin en [axe 2].";"bac_francais phrases transition"
"Transition vers la conclusion";"Le texte ne se limite pas à [axe 1] : il permet aussi de comprendre [axe 2].";"bac_francais phrases transition"
"Phrase à adapter en priorité";"Cette idée se retrouve également dans [deuxième citation].";"bac_francais phrases transition"
"Formule courte de transition";"Le même effet apparaît avec [procédé].";"bac_francais phrases transition"
"Lien avec l’axe suivant";"Un autre élément confirme cette interprétation.";"bac_francais phrases transition"
"Bilan intermédiaire";"Cette impression est renforcée par [procédé ou citation].";"bac_francais phrases transition"
"Phrase pour reprendre un argument";"Le texte progresse donc d'une description vers une véritable interprétation de [enjeu].";"bac_francais phrases transition"
"Phrase pour ouvrir sur la suite";"Cette scène prend alors une dimension plus [adjectif].";"bac_francais phrases transition"
"Faire le bilan";"Ainsi, le texte montre que [réponse à la problématique].";"bac_francais phrases conclusion"
"Répondre à la problématique";"L'analyse a permis de mettre en évidence [idée principale].";"bac_francais phrases conclusion"
"Rappeler les axes";"Ce passage repose donc sur [élément fort] pour faire comprendre [interprétation].";"bac_francais phrases conclusion"
"Ouvrir simplement";"Les procédés étudiés montrent que [bilan].";"bac_francais phrases conclusion"
"Dernière phrase possible";"On peut donc répondre que [auteur] parvient à [effet] grâce à [procédés ou axes].";"bac_francais phrases conclusion"
"Phrase à adapter en priorité";"Le texte transforme ainsi [situation] en [interprétation].";"bac_francais phrases conclusion"
"Formule pour conclure";"L'auteur donne au lecteur une impression de [effet], tout en montrant [idée].";"bac_francais phrases conclusion"
"Phrase de bilan";"Le passage révèle finalement [réponse claire].";"bac_francais phrases conclusion"
"Phrase de réponse";"Le texte suscite d'abord [axe 1], puis révèle [axe 2].";"bac_francais phrases conclusion"
"Phrase d’ouverture";"Après avoir présenté [axe 1], le passage met en évidence [axe 2].";"bac_francais phrases conclusion"
"Effet d’insistance";"Ce procédé insiste sur [idée].";"bac_francais phrases effets_produits"
"Effet d’émotion";"La répétition met en valeur [élément important].";"bac_francais phrases effets_produits"
"Effet de dramatisation";"L'auteur souligne ainsi l'importance de [idée].";"bac_francais phrases effets_produits"
"Effet de contraste";"Cet effet d'insistance rend [idée] plus visible pour le lecteur.";"bac_francais phrases effets_produits"
"Effet de réalisme";"L'idée revient avec force, comme si le texte voulait empêcher le lecteur de l'oublier.";"bac_francais phrases effets_produits"
"Effet de critique";"Cette insistance donne plus de poids à [idée].";"bac_francais phrases effets_produits"
"Effet de mouvement";"Le lecteur ressent alors [émotion].";"bac_francais phrases effets_produits"
"Effet d’atmosphère";"Cette formulation crée une impression de [émotion].";"bac_francais phrases effets_produits"
"Effet d’une métaphore";"L'auteur cherche à susciter [émotion] chez le lecteur.";"bac_francais phrases effets_produits"
"Effet d’un champ lexical";"Le passage devient plus touchant car [explication].";"bac_francais phrases effets_produits"
"Effet du rythme";"La scène touche le lecteur parce qu'elle rend visible [souffrance, solitude, espoir].";"bac_francais phrases effets_produits"
"Effet de la ponctuation";"Cette écriture crée une proximité avec [personnage ou locuteur].";"bac_francais phrases effets_produits"
"Effet du registre";"Ce choix d'écriture rend la scène plus intense.";"bac_francais phrases effets_produits"
"Effet sur le lecteur";"L'hyperbole accentue la violence de [situation].";"bac_francais phrases effets_produits"
"Qu’est-ce que paraphrase ?";"raconter ou reformuler sans analyser";"bac_francais erreurs erreur_paraphrase"
"Quel signe montre paraphrase ?";"tu répètes le texte sans expliquer";"bac_francais erreurs erreur_paraphrase"
"Quelle correction appliquer ?";"ajouter procédé, effet et interprétation";"bac_francais erreurs erreur_paraphrase"
"Mini-situation : tu résumes l’action au lieu de commenter. Quelle erreur reconnaît-on ?";"paraphrase";"bac_francais erreurs erreur_paraphrase"
"Comment l’éviter ?";"partir d’une idée, pas du récit";"bac_francais erreurs erreur_paraphrase"
"Phrase de secours à retenir.";"Ce passage montre que...";"bac_francais erreurs erreur_paraphrase"
"Que faut-il faire concrètement ?";"relier chaque citation à une idée d’axe";"bac_francais erreurs erreur_paraphrase"
"Qu’est-ce qu’il faut éviter ?";"recopier le sens sans le dépasser";"bac_francais erreurs erreur_paraphrase"
"Qu’est-ce que absence de problématique ?";"écrire sans vraie question directrice";"bac_francais erreurs erreur_pas_de_problematique"
"Quel signe montre absence de problématique ?";"l’introduction reste vague";"bac_francais erreurs erreur_pas_de_problematique"
"Quelle correction appliquer ?";"formuler une question simple et précise";"bac_francais erreurs erreur_pas_de_problematique"
"Mini-situation : tu commences à écrire sans direction claire. Quelle erreur reconnaît-on ?";"absence de problématique";"bac_francais erreurs erreur_pas_de_problematique"
"Comment l’éviter ?";"chercher l’enjeu principal du texte";"bac_francais erreurs erreur_pas_de_problematique"
"Phrase de secours à retenir.";"Comment [auteur] met-il en valeur [idée] ?";"bac_francais erreurs erreur_pas_de_problematique"
"Que faut-il faire concrètement ?";"faire répondre le plan à la question";"bac_francais erreurs erreur_pas_de_problematique"
"Qu’est-ce qu’il faut éviter ?";"laisser une problématique trop générale";"bac_francais erreurs erreur_pas_de_problematique"
"Qu’est-ce que axes trop vagues ?";"axes qui décrivent sans interpréter";"bac_francais erreurs erreur_axes_vagues"
"Quel signe montre axes trop vagues ?";"l’axe dit seulement “la description” ou “le personnage”";"bac_francais erreurs erreur_axes_vagues"
"Quelle correction appliquer ?";"transformer l’observation en idée";"bac_francais erreurs erreur_axes_vagues"
"Mini-situation : ton axe répète le thème sans le montrer autrement. Quelle erreur reconnaît-on ?";"axes trop vagues";"bac_francais erreurs erreur_axes_vagues"
"Comment l’éviter ?";"ajouter un verbe d’interprétation";"bac_francais erreurs erreur_axes_vagues"
"Phrase de secours à retenir.";"Le texte montre que...";"bac_francais erreurs erreur_axes_vagues"
"Que faut-il faire concrètement ?";"annoncer une idée qui répond à la problématique";"bac_francais erreurs erreur_axes_vagues"
"Qu’est-ce qu’il faut éviter ?";"faire un axe qui ne prouve rien";"bac_francais erreurs erreur_axes_vagues"
"Qu’est-ce que citations trop longues ?";"recopier de gros morceaux du texte";"bac_francais erreurs erreur_citations_trop_longues"
"Quel signe montre citations trop longues ?";"la citation prend trop de place";"bac_francais erreurs erreur_citations_trop_longues"
"Quelle correction appliquer ?";"garder seulement les mots utiles";"bac_francais erreurs erreur_citations_trop_longues"
"Mini-situation : tu copies trois lignes complètes. Quelle erreur reconnaît-on ?";"citations trop longues";"bac_francais erreurs erreur_citations_trop_longues"
"Comment l’éviter ?";"prélever une citation courte et précise";"bac_francais erreurs erreur_citations_trop_longues"
"Phrase de secours à retenir.";"Dans “[citation]”, l’auteur utilise...";"bac_francais erreurs erreur_citations_trop_longues"
"Que faut-il faire concrètement ?";"choisir une citation qui prouve une idée";"bac_francais erreurs erreur_citations_trop_longues"
"Qu’est-ce qu’il faut éviter ?";"surcharger le paragraphe";"bac_francais erreurs erreur_citations_trop_longues"
"Qu’est-ce que citation non analysée ?";"citer sans expliquer l’effet";"bac_francais erreurs erreur_pas_danalyse"
"Quel signe montre citation non analysée ?";"la phrase s’arrête après la citation";"bac_francais erreurs erreur_pas_danalyse"
"Quelle correction appliquer ?";"expliquer le procédé et le sens";"bac_francais erreurs erreur_pas_danalyse"
"Mini-situation : tu cites puis tu passes à autre chose. Quelle erreur reconnaît-on ?";"citation non analysée";"bac_francais erreurs erreur_pas_danalyse"
"Comment l’éviter ?";"suivre procédé -> effet -> interprétation";"bac_francais erreurs erreur_pas_danalyse"
"Phrase de secours à retenir.";"Ce procédé met en valeur...";"bac_francais erreurs erreur_pas_danalyse"
"Que faut-il faire concrètement ?";"faire apparaître le sens du choix d’écriture";"bac_francais erreurs erreur_pas_danalyse"
"Qu’est-ce qu’il faut éviter ?";"laisser la citation seule";"bac_francais erreurs erreur_pas_danalyse"
"Qu’est-ce que temps mal géré ?";"ne pas répartir correctement les 4 heures";"bac_francais erreurs erreur_temps_mal_gere"
"Quel signe montre temps mal géré ?";"l’introduction prend trop de temps";"bac_francais erreurs erreur_temps_mal_gere"
"Quelle correction appliquer ?";"s’en tenir au découpage prévu";"bac_francais erreurs erreur_temps_mal_gere"
"Mini-situation : tu rédiges trop tôt sans plan. Quelle erreur reconnaît-on ?";"temps mal géré";"bac_francais erreurs erreur_temps_mal_gere"
"Comment l’éviter ?";"suivre une répartition simple";"bac_francais erreurs erreur_temps_mal_gere"
"Phrase de secours à retenir.";"20-20-40-10";"bac_francais erreurs erreur_temps_mal_gere"
"Que faut-il faire concrètement ?";"avancer vers une copie complète";"bac_francais erreurs erreur_temps_mal_gere"
"Qu’est-ce qu’il faut éviter ?";"bloquer une heure sur un détail";"bac_francais erreurs erreur_temps_mal_gere"
"Qu’est-ce que absence de relecture ?";"rendre la copie sans correction finale";"bac_francais erreurs erreur_pas_de_relecture"
"Quel signe montre absence de relecture ?";"des fautes visibles restent partout";"bac_francais erreurs erreur_pas_de_relecture"
"Quelle correction appliquer ?";"réserver 10 à 15 minutes pour vérifier";"bac_francais erreurs erreur_pas_de_relecture"
"Mini-situation : tu rends la copie sans te relire. Quelle erreur reconnaît-on ?";"absence de relecture";"bac_francais erreurs erreur_pas_de_relecture"
"Comment l’éviter ?";"avoir une checklist simple";"bac_francais erreurs erreur_pas_de_relecture"
"Phrase de secours à retenir.";"Procédé -> effet -> interprétation";"bac_francais erreurs erreur_pas_de_relecture"
"Que faut-il faire concrètement ?";"corriger les fautes visibles et les oublis";"bac_francais erreurs erreur_pas_de_relecture"
"Qu’est-ce qu’il faut éviter ?";"relire au hasard";"bac_francais erreurs erreur_pas_de_relecture"
"Qu’est-ce que stress du jour J ?";"se précipiter et perdre la méthode";"bac_francais erreurs erreur_stress_jour_j"
"Quel signe montre stress du jour J ?";"tu veux écrire tout de suite";"bac_francais erreurs erreur_stress_jour_j"
"Quelle correction appliquer ?";"respirer, lire, planifier, puis rédiger";"bac_francais erreurs erreur_stress_jour_j"
"Mini-situation : tu paniques à cause d’un texte difficile. Quelle erreur reconnaît-on ?";"stress du jour J";"bac_francais erreurs erreur_stress_jour_j"
"Comment l’éviter ?";"garder une routine simple";"bac_francais erreurs erreur_stress_jour_j"
"Phrase de secours à retenir.";"Lire, repérer, planifier, écrire, relire";"bac_francais erreurs erreur_stress_jour_j"
"Que faut-il faire concrètement ?";"faire les étapes dans l’ordre";"bac_francais erreurs erreur_stress_jour_j"
"Qu’est-ce qu’il faut éviter ?";"confondre vitesse et précipitation";"bac_francais erreurs erreur_stress_jour_j"
